Poll,Date,Sample,MoE,Cruz (R),O'Rourke (D),Spread
RCP Average,8/22 - 10/5,--,--,47.3,42.3,Cruz +5.0
CBS News/YouGovCBS/YouGov,10/2 - 10/5,881 LV,--,50,44,Cruz +6
QuinnipiacQuinnipiac,9/11 - 9/17,807 LV,4.1,54,45,Cruz +9
CBS 11/Dixie StrategiesDixie Strategies,9/6 - 9/7,519 LV,4.3,46,42,Cruz +4
EmersonEmerson,8/22 - 8/25,550 RV,4.4,39,38,Cruz +1
NBC News/MaristNBC/Marist,8/12 - 8/16,759 RV,3.8,49,45,Cruz +4
QuinnipiacQuinnipiac,7/26 - 7/31,1138 RV,3.5,49,43,Cruz +6
Texas Lyceum*Texas Lyceum*,7/9 - 7/26,441 LV,4.7,41,39,Cruz +2
GravisGravis,7/3 - 7/7,602 LV,4.0,51,42,Cruz +9
CBS News/YouGovCBS/YouGov,6/19 - 6/22,821 LV,--,50,40,Cruz +10
UT/Texas Tribune*UT/Texas Tribune*,6/8 - 6/17,1200 RV,2.8,41,36,Cruz +5
QuinnipiacQuinnipiac,5/23 - 5/29,961 RV,3.8,50,39,Cruz +11
JMC AnalyticsJMC Analytics,5/19 - 5/21,575 LV,4.1,47,40,Cruz +7
QuinnipiacQuinnipiac,4/12 - 4/17,1029 RV,3.6,47,44,Cruz +3
